title,rating,quote
肖申克的救赎,9.7,
霸王别姬,9.6,
泰坦尼克号,9.5,
阿甘正传,9.5,
千与千寻,9.4,
星际穿越,9.4,
美丽人生,9.5,
这个杀手不太冷,9.4,
盗梦空间,9.4,
楚门的世界,9.4,
辛德勒的名单,9.5,
忠犬八公的故事,9.4,
海上钢琴师,9.3,
疯狂动物城,9.3,
三傻大闹宝莱坞,9.2,
机器人总动员,9.3,
放牛班的春天,9.3,
无间道,9.3,
控方证人,9.6,
寻梦环游记,9.1,
大话西游之大圣娶亲,9.2,
熔炉,9.3,
触不可及,9.3,
教父,9.3,
哈利·波特与魔法石,9.2,
末代皇帝,9.3,
当幸福来敲门,9.1,
龙猫,9.2,
活着,9.3,
怦然心动,9.1,
蝙蝠侠：黑暗骑士,9.2,
指环王3：王者无敌,9.3,
我不是药神,9.0,
乱世佳人,9.3,
让子弹飞,9.0,
飞屋环游记,9.1,
哈尔的移动城堡,9.1,
十二怒汉,9.4,
海蒂和爷爷,9.3,
素媛,9.3,
猫鼠游戏,9.1,
天空之城,9.2,
鬼子来了,9.3,
摔跤吧！爸爸,9.0,
少年派的奇幻漂流,9.1,
钢琴家,9.3,
死亡诗社,9.2,
指环王2：双塔奇兵,9.2,
大话西游之月光宝盒,9.0,
绿皮书,8.9,
何以为家,9.1,
闻香识女人,9.1,
大闹天宫,9.4,
黑客帝国,9.1,
指环王1：护戒使者,9.1,
罗马假日,9.1,
教父2,9.3,
狮子王,9.1,
天堂电影院,9.2,
饮食男女,9.2,
辩护人,9.2,
本杰明·巴顿奇事,9.0,
搏击俱乐部,9.0,
美丽心灵,9.1,
穿条纹睡衣的男孩,9.2,
哈利·波特与死亡圣器(下),9.0,
功夫,8.9,
两杆大烟枪,9.1,
情书,8.9,
窃听风暴,9.2,
音乐之声,9.1,
哈利·波特与阿兹卡班的囚徒,9.0,
阿凡达,8.8,
西西里的美丽传说,8.9,
看不见的客人,8.8,
拯救大兵瑞恩,9.1,
沉默的羔羊,8.9,
小鞋子,9.2,
蝴蝶效应,8.9,
布达佩斯大饭店,8.9,
还有明天,9.3,
飞越疯人院,9.1,
禁闭岛,8.9,
心灵捕手,9.0,
致命魔术,8.9,
低俗小说,8.9,
哈利·波特与密室,8.9,
一一,9.1,
超脱,9.0,
喜剧之王,8.8,
致命ID,8.9,
杀人回忆,8.9,
摩登时代,9.3,
加勒比海盗,8.8,
春光乍泄,9.0,
海豚湾,9.3,
美国往事,9.1,
七宗罪,8.8,
红辣椒,9.0,
唐伯虎点秋香,8.8,
狩猎,9.1,
幽灵公主,8.9,
寄生虫,8.8,
甜蜜蜜,8.9,
天书奇谭,9.2,
蝙蝠侠：黑暗骑士崛起,8.9,
超能陆战队,8.8,
茶馆,9.5,
7号房的礼物,8.9,
第六感,8.9,
爱在日落黄昏时,8.9,
爱在黎明破晓前,8.8,
头脑特工队,8.9,
哈利·波特与火焰杯,8.8,
未麻的部屋,9.1,
被嫌弃的松子的一生,8.8,
重庆森林,8.8,
借东西的小人阿莉埃蒂,8.9,
菊次郎的夏天,8.9,
入殓师,8.9,
剪刀手爱德华,8.7,
断背山,8.8,
勇敢的心,8.9,
时空恋旅人,8.8,
